_id,CFD_ID,Name_of_CFD_Unit,Allocation_Round,Technology_Type,Transmission_or_Distribution_connection,Status,Expected_Start_Date,Maximum_Contract_Capacity_MW
156,AR4-VWF-910,Viking Wind Farm,Allocation Round 4,Remote Island Wind,Transmission,Pre-Start Date,2027-03-31 00:00:00.0000000,220.000
157,AR4-WCK-700,Wickham,Allocation Round 4,Solar PV,Distribution,Pre-MDD,2028-04-03 00:00:00.0000000,35.000
158,AR4-WFR-710,Wick Farm,Allocation Round 4,Solar PV,Transmission,Pre-Start Date,2027-01-31 00:00:00.0000000,49.990
159,AR4-WGL-710,Walpole Green Limited,Allocation Round 4,Solar PV,Transmission,Pre-Start Date,2026-12-17 00:00:00.0000000,34.200
160,AR4-WLS-700,Wood lane Solar Farm,Allocation Round 4,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,40.000
161,AR4-YSF-700,Yelvertoft Solar Farm,Allocation Round 4,Solar PV,Distribution,Live (Pre-FIC),2025-10-28 00:00:00.0000000,37.880
162,AR5-ABW-610,Aberarder Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,49.990
163,AR5-AHS-700,Atherstone Hill Solar PV,Allocation Round 5,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,26.000
164,AR5-ALS-700,Aller Langport Solar Park,Allocation Round 5,Solar PV,Distribution,Live (Pre-FIC),2025-07-01 00:00:00.0000000,10.000
165,AR5-ANG-700,Anglesey,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,28.500
166,AR5-ASH-700,Ashorne,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-01-01 00:00:00.0000000,49.900
167,AR5-BAS-700,Barnsdale Solar Park,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2026-10-28 00:00:00.0000000,40.000
168,AR5-BBL-700,Burt20 Burtree Lane,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2026-03-31 00:00:00.0000000,40.000
169,AR5-BBW-600,BB2 Wind Farm,Allocation Round 5,Onshore Wind,Distribution,Pre-MDD,2028-07-01 00:00:00.0000000,43.200
170,AR5-BES-700,Berryhill Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,45.000
171,AR5-BEW-610,Bhlaraidh Extension Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Terminated,2028-03-31 00:00:00.0000000,100.800
172,AR5-BFS-700,Black Flatts Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2027-12-30 00:00:00.0000000,42.000
173,AR5-BIS-700,Birch,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,25.000
174,AR5-BLW-610,Blarghour Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2028-09-30 00:00:00.0000000,67.200
175,AR5-BRH-700,Brick House Farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2027-12-31 00:00:00.0000000,42.000
176,AR5-BRS-700,Bracon Ash Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2027-04-01 00:00:00.0000000,5.376
177,AR5-BSW-600,Ben Sca Wind Farm,Allocation Round 5,Onshore Wind,Distribution,Pre-MDD,2026-12-31 00:00:00.0000000,40.800
178,AR5-BUH-700,Burnt House Farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2027-04-01 00:00:00.0000000,40.000
179,AR5-BWI-610,Benbrack Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-Start Date,2026-05-01 00:00:00.0000000,31.100
180,AR5-CBG-710,Cowley Baldon Green Limited,Allocation Round 5,Solar PV,Transmission,Pre-Start Date,2027-04-01 00:00:00.0000000,49.200
181,AR5-CGW-610,Clash Gour Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2029-10-31 00:00:00.0000000,168.750
182,AR5-CIW-600,Camster II Wind Farm Limited,Allocation Round 5,Onshore Wind,Distribution,Pre-Start Date,2027-04-01 00:00:00.0000000,36.000
183,AR5-CLA-700,Clacton,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,20.000
184,AR5-COT-700,Cotmoor,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-01-01 00:00:00.0000000,49.900
185,AR5-CSP-700,Church Farm Solar PV,Allocation Round 5,Solar PV,Distribution,Terminated,2025-03-31 00:00:00.0000000,25.000
186,AR5-EGH-710,Enso Green Holdings H Limited,Allocation Round 5,Solar PV,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,40.000
