# Provenance: RO annual-aggregate emitted from Ofgem XLSX dataset companions (SY18-SY23).
#
# Each row below is extracted from the scheme-year XLSX listed in the .meta.json sources[] array.
# SY17 deferred per Phase 05.2 revision_decisions.sy17_disposition (PDF-only year).
#
# Source XLSX inventory (also enumerated in .meta.json):
#   - SY18 (2019-20): https://www.ofgem.gov.uk/sites/default/files/docs/2021/03/ro_annual_report_data_2019-20.xlsx
#   - SY19 (2020-21): https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
#   - SY20 (2021-22): https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
#   - SY21 (2022-23): https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
#   - SY22 (2023-24): https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
#   - SY23 (2024-25): https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
#
# Audit log:
#   2026-04-24 — Phase 05.2 Plan 02 emission (replaces commit a720ae7 in-place).
#
scheme_year,year,country,technology,generation_gwh,rocs_issued,ro_cost_gbp_nominal,source_pdf_url
SY23,2025,GB,Landfill gas,226.338000000904,227242.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Landfill gas,63.48505263182,63702.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Offshore wind,17738.238905117647,33307373.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Offshore wind,1011.9405908560008,2392636.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Offshore wind,1841.804833460846,3403226.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Onshore wind,5336.452555342927,5123825.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Onshore wind,16284.902554864777,15594158.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Onshore wind,1993.4997776660243,1881746.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Sewage gas,634.663,495978.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Sewage gas,35.724,35057.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
SY23,2025,GB,Sewage gas,24.325,24297.0,,https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
